GCCSA_NAME21	Religion	Denomination	Sex	persons
Rest of NT	Christianity	Churches Of Christ	F	25
Rest of NT	Christianity	Churches Of Christ	M	29
Rest of NT	Christianity	Eastern Orthodox	F	76
Rest of NT	Christianity	Eastern Orthodox	M	95
Rest of NT	Christianity	Jehovah's Witnesses	F	70
Rest of NT	Christianity	Jehovah's Witnesses	M	46
Rest of NT	Christianity	Latter Day Saints	F	122
Rest of NT	Christianity	Latter Day Saints	M	126
Rest of NT	Christianity	Lutheran	F	2487
Rest of NT	Christianity	Lutheran	M	2054
Rest of NT	Christianity	Oriental Orthodox	F	21
Rest of NT	Christianity	Oriental Orthodox	M	21
Rest of NT	Christianity	Pentecostal	F	779
Rest of NT	Christianity	Pentecostal	M	671
Rest of NT	Christianity	Presbyterian Reformed	F	250
Rest of NT	Christianity	Presbyterian Reformed	M	329
Rest of NT	Christianity	Protestant (Other)	F	734
Rest of NT	Christianity	Protestant (Other)	M	687
Rest of NT	Christianity	Salvation Army	F	39
Rest of NT	Christianity	Salvation Army	M	29
Rest of NT	Christianity	Seventh Day Adventist	F	229
Rest of NT	Christianity	Seventh Day Adventist	M	205
Rest of NT	Christianity	Uniting Church	F	2866
Rest of NT	Christianity	Uniting Church	M	2594
Rest of NT	Hinduism		F	448
Rest of NT	Hinduism		M	564
Rest of NT	Islam		F	188
Rest of NT	Islam		M	259
Rest of NT	Judaism		F	33
Rest of NT	Judaism		M	28
Rest of NT	No religion		F	14020
Rest of NT	No religion		M	15039
No usual address (ACT)	(Other)		F	40
No usual address (ACT)	(Other)		M	101
No usual address (ACT)	(Other)	(Other)	M	4
No usual address (ACT)	Buddhism		F	9
No usual address (ACT)	Buddhism		M	4
No usual address (ACT)	Christianity		F	13
No usual address (ACT)	Christianity		M	13
No usual address (ACT)	Christianity	Anglican	F	20
No usual address (ACT)	Christianity	Anglican	M	12
No usual address (ACT)	Christianity	Catholic	F	31
No usual address (ACT)	Christianity	Catholic	M	37
No usual address (ACT)	Christianity	Lutheran	M	6
No usual address (ACT)	Christianity	Pentecostal	F	5
No usual address (ACT)	Christianity	Pentecostal	M	3
No usual address (ACT)	Christianity	Presbyterian Reformed	M	8
No usual address (ACT)	Christianity	Salvation Army	M	6
No usual address (ACT)	Christianity	Uniting Church	F	6
No usual address (ACT)	Christianity	Uniting Church	M	3
No usual address (ACT)	Hinduism		F	4
No usual address (ACT)	Hinduism		M	6
No usual address (ACT)	Islam		F	6
No usual address (ACT)	Islam		M	9
No usual address (ACT)	No religion		F	129
No usual address (ACT)	No religion		M	139
Australian Capital Territory	(Other)		F	11951
Australian Capital Territory	(Other)		M	13711
Australian Capital Territory	(Other)	(Other)	F	962
Australian Capital Territory	(Other)	(Other)	M	725
Australian Capital Territory	(Other)	Australian Aboriginal Traditional	F	37
Australian Capital Territory	(Other)	Australian Aboriginal Traditional	M	22
Australian Capital Territory	(Other)	Other spiritual beliefs	F	502
Australian Capital Territory	(Other)	Other spiritual beliefs	M	325
Australian Capital Territory	(Other)	Secular beliefs	F	946
Australian Capital Territory	(Other)	Secular beliefs	M	1291
Australian Capital Territory	(Other)	Sikhism	F	2016
Australian Capital Territory	(Other)	Sikhism	M	2308
Australian Capital Territory	Buddhism		F	7132
Australian Capital Territory	Buddhism		M	5553
Australian Capital Territory	Christianity		F	5740
Australian Capital Territory	Christianity		M	4876
Australian Capital Territory	Christianity	(Other)	F	174
Australian Capital Territory	Christianity	(Other)	M	151
Australian Capital Territory	Christianity	Anglican	F	20431
Australian Capital Territory	Christianity	Anglican	M	16681
Australian Capital Territory	Christianity	Assyrian Apostolic	F	6
Australian Capital Territory	Christianity	Assyrian Apostolic	M	4
Australian Capital Territory	Christianity	Baptist	F	2073
Australian Capital Territory	Christianity	Baptist	M	1838
Australian Capital Territory	Christianity	Brethren	F	26
Australian Capital Territory	Christianity	Brethren	M	18
Australian Capital Territory	Christianity	Catholic	F	46661
Australian Capital Territory	Christianity	Catholic	M	40837
Australian Capital Territory	Christianity	Churches Of Christ	F	125
Australian Capital Territory	Christianity	Churches Of Christ	M	106
Australian Capital Territory	Christianity	Eastern Orthodox	F	3525
Australian Capital Territory	Christianity	Eastern Orthodox	M	3252
Australian Capital Territory	Christianity	Jehovah's Witnesses	F	432
Australian Capital Territory	Christianity	Jehovah's Witnesses	M	314
Australian Capital Territory	Christianity	Latter Day Saints	F	358
Australian Capital Territory	Christianity	Latter Day Saints	M	343
Australian Capital Territory	Christianity	Lutheran	F	1128
Australian Capital Territory	Christianity	Lutheran	M	868
Australian Capital Territory	Christianity	Oriental Orthodox	F	441
Australian Capital Territory	Christianity	Oriental Orthodox	M	422
Australian Capital Territory	Christianity	Pentecostal	F	2263
Australian Capital Territory	Christianity	Pentecostal	M	1952
Australian Capital Territory	Christianity	Presbyterian Reformed	F	3362
Australian Capital Territory	Christianity	Presbyterian Reformed	M	2879
Australian Capital Territory	Christianity	Protestant (Other)	F	1342
Australian Capital Territory	Christianity	Protestant (Other)	M	1189
Australian Capital Territory	Christianity	Salvation Army	F	272
Australian Capital Territory	Christianity	Salvation Army	M	234
Australian Capital Territory	Christianity	Seventh Day Adventist	F	406
Australian Capital Territory	Christianity	Seventh Day Adventist	M	346
Australian Capital Territory	Christianity	Uniting Church	F	4628
Australian Capital Territory	Christianity	Uniting Church	M	3365
Australian Capital Territory	Hinduism		F	9778
Australian Capital Territory	Hinduism		M	10720
Australian Capital Territory	Islam		F	6894
Australian Capital Territory	Islam		M	7714
Australian Capital Territory	Judaism		F	473
Australian Capital Territory	Judaism		M	412
Australian Capital Territory	No religion		F	95784
Australian Capital Territory	No religion		M	101582
No usual address (OT)	(Other)		M	3
No usual address (OT)	Islam		M	3
Other Territories	(Other)		F	361
Other Territories	(Other)		M	608
Other Territories	(Other)	(Other)	F	8
Other Territories	(Other)	(Other)	M	4
Other Territories	(Other)	Australian Aboriginal Traditional	F	7
Other Territories	(Other)	Australian Aboriginal Traditional	M	4
Other Territories	(Other)	Other spiritual beliefs	F	3
Other Territories	(Other)	Other spiritual beliefs	M	4
Other Territories	(Other)	Secular beliefs	F	7
Other Territories	(Other)	Secular beliefs	M	6
Other Territories	(Other)	Sikhism	F	4
Other Territories	Buddhism		F	132
Other Territories	Buddhism		M	137
Other Territories	Christianity		F	45
Other Territories	Christianity		M	34
Other Territories	Christianity	(Other)	F	3
Other Territories	Christianity	Anglican	F	306
Other Territories	Christianity	Anglican	M	272
Other Territories	Christianity	Baptist	F	30
Other Territories	Christianity	Baptist	M	20
Other Territories	Christianity	Catholic	F	210
Other Territories	Christianity	Catholic	M	191
Other Territories	Christianity	Eastern Orthodox	M	3
Other Territories	Christianity	Jehovah's Witnesses	F	3
Other Territories	Christianity	Jehovah's Witnesses	M	5
Other Territories	Christianity	Lutheran	F	3
Other Territories	Christianity	Pentecostal	F	15
Other Territories	Christianity	Pentecostal	M	12
Other Territories	Christianity	Presbyterian Reformed	F	29
Other Territories	Christianity	Presbyterian Reformed	M	15
Other Territories	Christianity	Protestant (Other)	F	3
Other Territories	Christianity	Salvation Army	F	3
Other Territories	Christianity	Seventh Day Adventist	F	18
Other Territories	Christianity	Seventh Day Adventist	M	21
Other Territories	Christianity	Uniting Church	F	105
Other Territories	Christianity	Uniting Church	M	82
Other Territories	Hinduism		F	6
Other Territories	Hinduism		M	10
Other Territories	Islam		F	361
Other Territories	Islam		M	404
Other Territories	Judaism		M	3
Other Territories	No religion		F	612
Other Territories	No religion		M	675
