GCCSA_NAME21	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Greater Darwin	Flat/apartment		Couple family with no children	5
Greater Darwin	Flat/apartment		Lone-person household	15
Greater Darwin	Flat/apartment		One parent family with children	3
Greater Darwin	Flat/apartment	1 or 2 storey block	Couple family with children	702
Greater Darwin	Flat/apartment	1 or 2 storey block	Couple family with no children	918
Greater Darwin	Flat/apartment	1 or 2 storey block	Group household	273
Greater Darwin	Flat/apartment	1 or 2 storey block	Lone-person household	1668
Greater Darwin	Flat/apartment	1 or 2 storey block	One parent family with children	414
Greater Darwin	Flat/apartment	1 or 2 storey block	Other family	67
Greater Darwin	Flat/apartment	3 storey block	Couple family with children	403
Greater Darwin	Flat/apartment	3 storey block	Couple family with no children	469
Greater Darwin	Flat/apartment	3 storey block	Group household	162
Greater Darwin	Flat/apartment	3 storey block	Lone-person household	727
Greater Darwin	Flat/apartment	3 storey block	One parent family with children	131
Greater Darwin	Flat/apartment	3 storey block	Other family	25
Greater Darwin	Flat/apartment	4-8 storey block	Couple family with children	584
Greater Darwin	Flat/apartment	4-8 storey block	Couple family with no children	887
Greater Darwin	Flat/apartment	4-8 storey block	Group household	351
Greater Darwin	Flat/apartment	4-8 storey block	Lone-person household	1110
Greater Darwin	Flat/apartment	4-8 storey block	One parent family with children	271
Greater Darwin	Flat/apartment	4-8 storey block	Other family	44
Greater Darwin	Flat/apartment	9 or more storey block	Couple family with children	352
Greater Darwin	Flat/apartment	9 or more storey block	Couple family with no children	881
Greater Darwin	Flat/apartment	9 or more storey block	Group household	271
Greater Darwin	Flat/apartment	9 or more storey block	Lone-person household	949
Greater Darwin	Flat/apartment	9 or more storey block	One parent family with children	106
Greater Darwin	Flat/apartment	9 or more storey block	Other family	24
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	419
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	554
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.		Group household	184
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	704
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	294
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.		Other family	35
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	446
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	569
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	123
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1216
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	351
Greater Darwin	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	51
Greater Darwin	Separate house		Couple family with children	12546
Greater Darwin	Separate house		Couple family with no children	7628
Greater Darwin	Separate house		Group household	1278
Greater Darwin	Separate house		Lone-person household	4369
Greater Darwin	Separate house		One parent family with children	3803
Greater Darwin	Separate house		Other family	317
Rest of NT			Couple family with children	62
Rest of NT			Couple family with no children	122
Rest of NT			Group household	15
Rest of NT			Lone-person household	267
Rest of NT			One parent family with children	33
Rest of NT			Other family	7
Rest of NT	(Other)	Cabin household	Couple family with children	16
Rest of NT	(Other)	Cabin household	Couple family with no children	17
Rest of NT	(Other)	Cabin household	Group household	5
Rest of NT	(Other)	Cabin household	Lone-person household	71
Rest of NT	(Other)	Cabin household	One parent family with children	7
Rest of NT	(Other)	Caravan	Couple family with children	36
Rest of NT	(Other)	Caravan	Couple family with no children	151
Rest of NT	(Other)	Caravan	Group household	11
Rest of NT	(Other)	Caravan	Lone-person household	235
Rest of NT	(Other)	Caravan	One parent family with children	20
Rest of NT	(Other)	Caravan	Other family	4
Rest of NT	(Other)	House or flat attached to a shop, office, etc	Couple family with children	3
Rest of NT	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	17
Rest of NT	(Other)	House or flat attached to a shop, office, etc	Lone-person household	15
Rest of NT	(Other)	Improvised home, tent sleepers	Couple family with children	13
Rest of NT	(Other)	Improvised home, tent sleepers	Couple family with no children	42
Rest of NT	(Other)	Improvised home, tent sleepers	Group household	3
Rest of NT	(Other)	Improvised home, tent sleepers	Lone-person household	69
Rest of NT	(Other)	Improvised home, tent sleepers	One parent family with children	9
Rest of NT	(Other)	Improvised home, tent sleepers	Other family	3
Rest of NT	Flat/apartment		Couple family with children	6
Rest of NT	Flat/apartment		Couple family with no children	3
Rest of NT	Flat/apartment		Lone-person household	3
Rest of NT	Flat/apartment		One parent family with children	5
Rest of NT	Flat/apartment	1 or 2 storey block	Couple family with children	74
Rest of NT	Flat/apartment	1 or 2 storey block	Couple family with no children	168
Rest of NT	Flat/apartment	1 or 2 storey block	Group household	30
Rest of NT	Flat/apartment	1 or 2 storey block	Lone-person household	419
Rest of NT	Flat/apartment	1 or 2 storey block	One parent family with children	61
Rest of NT	Flat/apartment	1 or 2 storey block	Other family	13
Rest of NT	Flat/apartment	3 storey block	Couple family with no children	3
Rest of NT	Flat/apartment	3 storey block	Lone-person household	16
Rest of NT	Flat/apartment	3 storey block	One parent family with children	6
Rest of NT	Flat/apartment	4-8 storey block	Couple family with children	5
Rest of NT	Flat/apartment	4-8 storey block	Couple family with no children	3
Rest of NT	Flat/apartment	4-8 storey block	Lone-person household	5
Rest of NT	Flat/apartment	4-8 storey block	One parent family with children	4
Rest of NT	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	189
Rest of NT	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	237
Rest of NT	Semi-detached, row/terrace house, townhouse etc.		Group household	69
Rest of NT	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	392
Rest of NT	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	116
Rest of NT	Semi-detached, row/terrace house, townhouse etc.		Other family	12
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	641
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	588
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	122
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	1248
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	349
Rest of NT	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	56
Rest of NT	Separate house		Couple family with children	6542
Rest of NT	Separate house		Couple family with no children	3837
Rest of NT	Separate house		Group household	691
Rest of NT	Separate house		Lone-person household	3011
Rest of NT	Separate house		One parent family with children	2751
Rest of NT	Separate house		Other family	439
Australian Capital Territory			Couple family with children	38
Australian Capital Territory			Couple family with no children	47
Australian Capital Territory			Group household	15
Australian Capital Territory			Lone-person household	90
Australian Capital Territory			One parent family with children	18
Australian Capital Territory			Other family	3
Australian Capital Territory	(Other)	Cabin household	Couple family with children	8
Australian Capital Territory	(Other)	Cabin household	Couple family with no children	17
Australian Capital Territory	(Other)	Cabin household	Group household	6
Australian Capital Territory	(Other)	Cabin household	Lone-person household	63
Australian Capital Territory	(Other)	Cabin household	One parent family with children	13
Australian Capital Territory	(Other)	Cabin household	Other family	5
Australian Capital Territory	(Other)	Caravan	Couple family with children	3
Australian Capital Territory	(Other)	Caravan	Couple family with no children	5
Australian Capital Territory	(Other)	Caravan	Lone-person household	29
Australian Capital Territory	(Other)	Caravan	One parent family with children	5
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with children	5
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	3
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Group household	4
Australian Capital Territory	(Other)	House or flat attached to a shop, office, etc	Lone-person household	3
Australian Capital Territory	Flat/apartment		Couple family with children	62
Australian Capital Territory	Flat/apartment		Couple family with no children	115
Australian Capital Territory	Flat/apartment		Group household	26
Australian Capital Territory	Flat/apartment		Lone-person household	198
Australian Capital Territory	Flat/apartment		One parent family with children	28
Australian Capital Territory	Flat/apartment		Other family	3
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Couple family with children	666
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Couple family with no children	1330
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Group household	409
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Lone-person household	2745
Australian Capital Territory	Flat/apartment	1 or 2 storey block	One parent family with children	432
Australian Capital Territory	Flat/apartment	1 or 2 storey block	Other family	46
Australian Capital Territory	Flat/apartment	3 storey block	Couple family with children	882
Australian Capital Territory	Flat/apartment	3 storey block	Couple family with no children	2147
Australian Capital Territory	Flat/apartment	3 storey block	Group household	697
Australian Capital Territory	Flat/apartment	3 storey block	Lone-person household	3476
Australian Capital Territory	Flat/apartment	3 storey block	One parent family with children	428
Australian Capital Territory	Flat/apartment	3 storey block	Other family	112
Australian Capital Territory	Flat/apartment	4-8 storey block	Couple family with children	1181
Australian Capital Territory	Flat/apartment	4-8 storey block	Couple family with no children	4037
Australian Capital Territory	Flat/apartment	4-8 storey block	Group household	904
Australian Capital Territory	Flat/apartment	4-8 storey block	Lone-person household	5810
Australian Capital Territory	Flat/apartment	4-8 storey block	One parent family with children	569
Australian Capital Territory	Flat/apartment	4-8 storey block	Other family	143
Australian Capital Territory	Flat/apartment	9 or more storey block	Couple family with children	538
Australian Capital Territory	Flat/apartment	9 or more storey block	Couple family with no children	2047
Australian Capital Territory	Flat/apartment	9 or more storey block	Group household	578
Australian Capital Territory	Flat/apartment	9 or more storey block	Lone-person household	2697
Australian Capital Territory	Flat/apartment	9 or more storey block	One parent family with children	258
Australian Capital Territory	Flat/apartment	9 or more storey block	Other family	88
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	3449
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	4074
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Group household	1301
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	4431
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	1672
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.		Other family	240
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	2265
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	3065
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	546
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	6103
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	1618
Australian Capital Territory	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	148
Australian Capital Territory	Separate house		Couple family with children	44820
Australian Capital Territory	Separate house		Couple family with no children	28306
Australian Capital Territory	Separate house		Group household	3365
Australian Capital Territory	Separate house		Lone-person household	17682
Australian Capital Territory	Separate house		One parent family with children	11282
Australian Capital Territory	Separate house		Other family	983
Other Territories			Couple family with no children	7
Other Territories			Lone-person household	13
Other Territories	Flat/apartment		Couple family with no children	5
Other Territories	Flat/apartment		Lone-person household	7
Other Territories	Flat/apartment	1 or 2 storey block	Couple family with children	10
Other Territories	Flat/apartment	1 or 2 storey block	Couple family with no children	22
Other Territories	Flat/apartment	1 or 2 storey block	Group household	6
Other Territories	Flat/apartment	1 or 2 storey block	Lone-person household	44
Other Territories	Flat/apartment	1 or 2 storey block	One parent family with children	3
Other Territories	Flat/apartment	3 storey block	Couple family with children	22
Other Territories	Flat/apartment	3 storey block	Couple family with no children	10
Other Territories	Flat/apartment	3 storey block	Lone-person household	8
Other Territories	Flat/apartment	3 storey block	One parent family with children	9
Other Territories	Flat/apartment	3 storey block	Other family	3
Other Territories	Flat/apartment	4-8 storey block	Couple family with children	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	4
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	3
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	31
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	23
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	33
Other Territories	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	6
Other Territories	Separate house		Couple family with children	336
Other Territories	Separate house		Couple family with no children	386
Other Territories	Separate house		Group household	21
Other Territories	Separate house		Lone-person household	384
Other Territories	Separate house		One parent family with children	116
Other Territories	Separate house		Other family	19
